date,energy
2018-10-04,171.041
2018-10-05,177.346
2018-10-06,192.513
2018-10-07,138.701
2018-10-08,130.17
2018-10-09,224.238
2018-10-10,189.421
2018-10-11,285.12
2018-10-12,297.353
2018-10-13,153.755
2018-10-14,36.772999999999996
2018-10-15,178.578
2018-10-16,295.121
2018-10-17,155.579
2018-10-18,163.573
2018-10-19,236.63400000000001
2018-10-20,121.713
2018-10-21,132.49699999999999
2018-10-22,141.0
2018-10-23,86.791
2018-10-24,256.271
2018-10-25,218.644
2018-10-26,181.268
2018-10-27,171.958
2018-10-28,118.751
2018-10-29,163.324
2018-10-30,212.047
2018-10-31,352.152
2018-11-01,282.841
2018-11-02,174.14
2018-11-03,190.41
2018-11-04,105.874
2018-11-05,202.288
2018-11-06,157.601
2018-11-07,240.909
2018-11-08,202.702
2018-11-09,260.837
2018-11-10,167.016
2018-11-11,164.873
2018-11-12,128.237
2018-11-13,216.788
2018-11-14,341.852
2018-11-15,167.017
2018-11-16,242.25400000000002
2018-11-17,116.151
2018-11-18,107.14
2018-11-19,308.222
2018-11-20,114.511
2018-11-21,128.561
2018-11-22,64.099
2018-11-23,94.894
2018-11-24,106.879
2018-11-25,60.826
2018-11-26,254.624
2018-11-27,141.978
2018-11-28,176.578
2018-11-29,232.494
2018-11-30,255.898
2018-12-01,182.948
2018-12-02,219.952
2018-12-03,237.244
2018-12-04,205.435
2018-12-05,212.221
2018-12-06,216.847
2018-12-07,376.283
2018-12-08,229.158
2018-12-09,256.704
2018-12-10,231.152
2018-12-11,267.634
2018-12-12,255.523
2018-12-13,321.472
2018-12-14,263.087
2018-12-15,156.788
2018-12-16,131.178
2018-12-17,238.754
2018-12-18,332.84499999999997
2018-12-19,456.607
2018-12-20,309.483
2018-12-21,368.906
2018-12-22,128.252
2018-12-23,268.075
2018-12-24,138.952
2018-12-25,57.608999999999995
2018-12-26,122.241
2018-12-27,212.53799999999998
2018-12-28,211.486
2018-12-29,118.31
2018-12-30,105.921
2018-12-31,148.549
2019-01-01,92.614
2019-01-02,146.599
2019-01-03,211.377
2019-01-04,182.556
2019-01-05,143.206
2019-01-06,176.258
2019-01-07,250.483
2019-01-08,180.691
2019-01-09,325.213
2019-01-10,232.112
2019-01-11,213.007
2019-01-12,135.764
2019-01-13,176.142
2019-01-14,277.524
2019-01-15,280.076
2019-01-16,302.215
2019-01-17,246.566
2019-01-18,225.57399999999998
2019-01-19,187.455
2019-01-20,150.899
2019-01-21,119.411
2019-01-22,181.854
2019-01-23,268.233
2019-01-24,236.798
2019-01-25,404.82
2019-01-26,260.809
2019-01-27,147.98
2019-01-28,261.714
2019-01-29,326.282
2019-01-30,358.096
2019-01-31,393.175
2019-02-01,330.697
2019-02-02,260.01
2019-02-03,130.66
2019-02-04,237.225
2019-02-05,283.394
2019-02-06,161.32999999999998
2019-02-07,343.206
2019-02-08,321.551
2019-02-09,217.838
2019-02-10,236.35
2019-02-11,254.25
2019-02-12,287.476
2019-02-13,279.502
2019-02-14,303.575
2019-02-15,409.217
2019-02-16,172.069
2019-02-17,115.907
2019-02-18,199.97299999999998
2019-02-19,329.215
2019-02-20,314.516
2019-02-21,280.068
2019-02-22,221.498
2019-02-23,169.814
2019-02-24,138.721
2019-02-25,228.457
2019-02-26,246.715
2019-02-27,259.526
2019-02-28,256.302
2019-03-01,236.736
2019-03-02,156.66
2019-03-03,183.383
2019-03-04,282.962
2019-03-05,317.335
2019-03-06,174.355
2019-03-07,229.403
2019-03-08,218.226
2019-03-09,193.455
2019-03-10,156.203
2019-03-11,169.588
2019-03-12,153.834
2019-03-13,27.122999999999998
2019-03-14,120.718
2019-03-15,211.001
2019-03-16,271.964
2019-03-17,177.725
2019-03-18,332.139
2019-03-19,314.623
2019-03-20,376.424
2019-03-21,249.68
2019-03-22,327.036
2019-03-23,111.358
2019-03-24,219.794
2019-03-25,248.003
2019-03-26,237.245
2019-03-27,157.736
2019-03-28,93.15
2019-03-29,164.888
2019-03-30,138.206
2019-03-31,115.083
2019-04-01,279.879
2019-04-02,325.042
2019-04-03,246.004
2019-04-04,175.721
2019-04-05,253.085
2019-04-06,164.919
2019-04-07,165.357
2019-04-08,259.836
2019-04-09,227.892
2019-04-10,137.726
2019-04-11,141.965
2019-04-12,261.928
2019-04-13,234.315
2019-04-14,302.685
2019-04-15,224.216
2019-04-16,267.127
2019-04-17,228.716
2019-04-18,261.623
2019-04-19,246.548
